etiqueta,px,cm_pared,cm_mesa,σ_pared_cm,σ_mesa_cm
calib_cuadro,193.76331967239886,117.0,274.02070278941795,,
calib_mesa,113.91573877982522,68.78567862985531,161.1,,
extra_1,137.6198489127796,83.09891856734552,194.62242792191992,1.2076589129234079,2.828406359394673
extra_2,312.15818084943396,188.490304672388,441.45509192580573,1.2076589129234079,2.828406359394673
extra_3,87.93229034520701,53.09610708457908,124.35412460426114,1.2076589129234079,2.828406359394673
extra_4,137.59649514692225,83.08481687560155,194.58940095198656,1.2076589129234079,2.828406359394673
extra_5,115.96608843150233,70.02374014558394,163.9996109968931,1.2076589129234079,2.828406359394673
extra_6,373.2717970189979,225.39250630646498,527.8821622356056,1.2076589129234079,2.828406359394673
extra_7,330.707702385768,199.69105217929726,467.68788426435356,1.2076589129234079,2.828406359394673
extra_8,401.54227991076027,242.46305662490775,567.862369032715,1.2076589129234079,2.828406359394673
